2026-04-22 10:42:42,546 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:05:05,043 | send | /adm/obj/1/xyz | [-0.6779394745826721, 1.0, 0.5832739472389221]
2026-04-22 11:05:05,043 | send | /adm/obj/2/xyz | [-0.6779394745826721, 1.0, 0.5832739472389221]
2026-04-22 11:05:05,139 | recv | /reward | [0.8528205156326294]
2026-04-22 11:05:05,140 | send | /adm/obj/1/xyz | [1.0, 0.9801046848297119, 0.9692565202713013]
2026-04-22 11:05:05,140 | send | /adm/obj/2/xyz | [1.0, 0.9801046848297119, 0.9692565202713013]
2026-04-22 11:05:05,232 | recv | /reward | [-0.455284982919693]
2026-04-22 11:05:05,233 | send | /adm/obj/1/xyz | [1.0, 0.1744396686553955, -0.6096315979957581]
2026-04-22 11:05:05,233 | send | /adm/obj/2/xyz | [1.0, 0.1744396686553955, -0.6096315979957581]
2026-04-22 11:05:05,323 | recv | /reward | [-0.6405876874923706]
2026-04-22 11:05:05,324 | send | /adm/obj/1/xyz | [0.5628327131271362, -1.0, -0.5063381791114807]
2026-04-22 11:05:05,324 | send | /adm/obj/2/xyz | [0.5628327131271362, -1.0, -0.5063381791114807]
2026-04-22 11:05:05,424 | recv | /reward | [-0.8671501874923706]
2026-04-22 11:05:05,425 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.6213825941085815]
2026-04-22 11:05:05,425 | send | /adm/obj/2/xyz | [-1.0, 1.0, 0.6213825941085815]
2026-04-22 11:05:05,515 | recv | /reward | [-1.0]
2026-04-22 11:05:05,516 | send | /adm/obj/1/xyz | [0.23309959471225739, 0.3711288273334503, -1.0]
2026-04-22 11:05:05,517 | send | /adm/obj/2/xyz | [0.23309959471225739, 0.3711288273334503, -1.0]
2026-04-22 11:05:05,598 | recv | /reward | [-1.0]
2026-04-22 11:05:05,599 | send | /adm/obj/1/xyz | [0.22319385409355164, -0.3424333333969116, -0.9789214134216309]
2026-04-22 11:05:05,600 | send | /adm/obj/2/xyz | [0.22319385409355164, -0.3424333333969116, -0.9789214134216309]
2026-04-22 11:05:05,695 | recv | /reward | [-0.6852654218673706]
2026-04-22 11:05:05,696 | send | /adm/obj/1/xyz | [-0.5132991075515747, -1.0, -0.052208662033081055]
2026-04-22 11:05:05,696 | send | /adm/obj/2/xyz | [-0.5132991075515747, -1.0, -0.052208662033081055]
2026-04-22 11:05:05,786 | recv | /reward | [-0.1073845848441124]
2026-04-22 11:05:05,786 | send | /adm/obj/1/xyz | [0.39475783705711365, 0.264985591173172, 0.40892666578292847]
2026-04-22 11:05:05,787 | send | /adm/obj/2/xyz | [0.39475783705711365, 0.264985591173172, 0.40892666578292847]
2026-04-22 11:05:05,882 | recv | /reward | [-0.206505686044693]
2026-04-22 11:05:05,883 | send | /adm/obj/1/xyz | [-1.0, -0.5127262473106384, -0.015601043589413166]
2026-04-22 11:05:05,883 | send | /adm/obj/2/xyz | [-1.0, -0.5127262473106384, -0.015601043589413166]
2026-04-22 11:05:05,969 | recv | /reward | [0.419226735830307]
2026-04-22 11:05:05,970 | send | /adm/obj/1/xyz | [1.0, 0.2775675058364868, 0.9015209674835205]
2026-04-22 11:05:05,970 | send | /adm/obj/2/xyz | [1.0, 0.2775675058364868, 0.9015209674835205]
2026-04-22 11:05:06,064 | recv | /reward | [0.6445685625076294]
2026-04-22 11:05:06,065 | send | /adm/obj/1/xyz | [1.0, -0.8209874033927917, -0.7251061797142029]
2026-04-22 11:05:06,065 | send | /adm/obj/2/xyz | [1.0, -0.8209874033927917, -0.7251061797142029]
2026-04-22 11:05:06,151 | recv | /reward | [0.9011603593826294]
2026-04-22 11:05:06,152 | send | /adm/obj/1/xyz | [-0.20626291632652283, 0.3346622884273529, 1.0]
2026-04-22 11:05:06,152 | send | /adm/obj/2/xyz | [-0.20626291632652283, 0.3346622884273529, 1.0]
2026-04-22 11:05:06,248 | recv | /reward | [0.7854377031326294]
2026-04-22 11:05:06,248 | send | /adm/obj/1/xyz | [0.21107827126979828, 0.2547048330307007, 1.0]
2026-04-22 11:05:06,248 | send | /adm/obj/2/xyz | [0.21107827126979828, 0.2547048330307007, 1.0]
2026-04-22 11:05:06,346 | recv | /reward | [0.8476935625076294]
2026-04-22 11:05:06,347 | send | /adm/obj/1/xyz | [0.3365066349506378, -1.0, -0.022932512685656548]
2026-04-22 11:05:06,347 | send | /adm/obj/2/xyz | [0.3365066349506378, -1.0, -0.022932512685656548]
2026-04-22 11:05:06,447 | recv | /reward | [0.9863654375076294]
2026-04-22 11:05:06,448 | send | /adm/obj/1/xyz | [0.46836960315704346, 0.9634831547737122, 0.25202611088752747]
2026-04-22 11:05:06,448 | send | /adm/obj/2/xyz | [0.46836960315704346, 0.9634831547737122, 0.25202611088752747]
2026-04-22 11:05:06,523 | recv | /reward | [0.9057990312576294]
2026-04-22 11:05:06,524 | send | /adm/obj/1/xyz | [-1.0, 0.24451680481433868, -1.0]
2026-04-22 11:05:06,524 | send | /adm/obj/2/xyz | [-1.0, 0.24451680481433868, -1.0]
2026-04-22 11:05:06,605 | recv | /reward | [0.8948127031326294]
2026-04-22 11:05:06,606 | send | /adm/obj/1/xyz | [-0.854292631149292, 1.0, 0.07685383409261703]
2026-04-22 11:05:06,606 | send | /adm/obj/2/xyz | [-0.854292631149292, 1.0, 0.07685383409261703]
2026-04-22 11:05:06,709 | recv | /reward | [0.5327521562576294]
2026-04-22 11:05:06,710 | send | /adm/obj/1/xyz | [-1.0, 0.7126835584640503, -1.0]
2026-04-22 11:05:06,711 | send | /adm/obj/2/xyz | [-1.0, 0.7126835584640503, -1.0]
